Model,Optimization_Time,Best_Val_MSE,Avg_Test_R2,Std_Test_R2,Avg_Test_MAE,Std_Test_MAE,Avg_Test_RMSE,Std_Test_RMSE,Features_Original,Features_CNN,Features_Selected,Best_Params
CatBoost,1052.8690431118011,0.038750732139860335,0.9911471923749666,0.0008134340971754462,0.24951003093810983,0.015308868192030782,0.35251558401131666,0.01633876597049869,6,256,22,"{'iterations': 297, 'learning_rate': np.float64(0.09656570125020818), 'depth': 3, 'verbose': False, 'random_seed': 44, 'l2_leaf_reg': 3.0}"
XGBoost,0.29029226303100586,1000000.0,0.9909050829107275,0.0014610242605104856,0.2550243958089923,0.01576090119088568,0.35663677788246895,0.029482013938753496,6,256,22,"{'n_estimators': 204, 'learning_rate': np.float64(0.16765428582832143), 'max_depth': 3, 'random_state': 44, 'verbosity': 0, 'reg_alpha': 0.1, 'reg_lambda': 1.0}"
LightGBM,0.3426079750061035,1000000.0,0.9892631269249991,0.000944977462467997,0.27439236454702115,0.013185288769053696,0.38824307219951426,0.017330460660905954,6,256,22,"{'n_estimators': 249, 'learning_rate': np.float64(0.07701693366033559), 'max_depth': 3, 'min_child_samples': 97, 'random_state': 44, 'verbosity': -1, 'min_data_in_leaf': 10, 'feature_fraction': 0.8, 'bagging_fraction': 0.8, 'bagging_freq': 5}"
AdaBoost,3492.882268667221,0.11364672634454097,0.9876548790562542,0.0013892430929477637,0.3133055159431798,0.016392280295997402,0.4160803226654292,0.024082280880598095,6,256,22,"{'n_estimators': 274, 'learning_rate': np.float64(0.2578897690690868), 'random_state': 44}"
